No,currency,date,rate
1,CNY,20160101,186.42
2,CNY,20160102,181.48
3,CNY,20160103,181.48
4,CNY,20160104,181.1
5,CNY,20160105,181.94
6,CNY,20160106,182.61
7,CNY,20160107,183.03
8,CNY,20160108,181.56
9,CNY,20160109,181.56
10,CNY,20160110,181.56
11,CNY,20160111,182.98
12,CNY,20160112,183.43
13,CNY,20160113,184.11
14,CNY,20160114,183.87
15,CNY,20160115,183.31
16,CNY,20160116,183.31
17,CNY,20160117,183.31
18,CNY,20160118,184.37
19,CNY,20160119,183.93
20,CNY,20160120,183.48
21,CNY,20160121,183.79
22,CNY,20160122,182.98
23,CNY,20160123,182.98
24,CNY,20160124,182.98
25,CNY,20160125,182.1
26,CNY,20160126,182.24
27,CNY,20160127,182
28,CNY,20160128,183.65
29,CNY,20160129,183.57
30,CNY,20160130,183.57
31,CNY,20160131,183.57
32,CNY,20160201,183.4
33,CNY,20160202,182.88
34,CNY,20160203,184.21
35,CNY,20160204,182.61
36,CNY,20160205,181.73
37,CNY,20160206,182.61
38,CNY,20160207,181.73
39,CNY,20160208,186.42
40,CNY,20160209,181.73
41,CNY,20160210,181.73
42,CNY,20160211,181.02
43,CNY,20160212,182.55
44,CNY,20160213,187.5
45,CNY,20160214,182.55
46,CNY,20160215,183.61
47,CNY,20160216,186.42
48,CNY,20160217,187.06
49,CNY,20160218,187.5
50,CNY,20160219,188.69
51,CNY,20160220,182.55
52,CNY,20160221,188.69
53,CNY,20160222,189.05
54,CNY,20160223,187.68
55,CNY,20160224,188.76
56,CNY,20160225,188.78
57,CNY,20160226,190.25
58,CNY,20160227,190.25
59,CNY,20160228,189.18
60,CNY,20160229,190.05
61,CNY,20160301,190.05
62,CNY,20160302,187.73
63,CNY,20160303,187.15
64,CNY,20160304,185.57
65,CNY,20160305,190.25
66,CNY,20160306,185.57
67,CNY,20160307,184.08
68,CNY,20160308,184.3
69,CNY,20160309,186.02
70,CNY,20160310,185.79
71,CNY,20160311,185.3
72,CNY,20160312,184.3
73,CNY,20160313,185.3
74,CNY,20160314,182.91
75,CNY,20160315,183.08
76,CNY,20160316,183.44
77,CNY,20160317,180.93
78,CNY,20160318,179.04
79,CNY,20160319,179.04
80,CNY,20160320,178.54
81,CNY,20160321,179.87
82,CNY,20160322,179.04
83,CNY,20160323,178.28
84,CNY,20160324,179.68
85,CNY,20160325,179.45
86,CNY,20160326,179
87,CNY,20160327,179.45
88,CNY,20160328,179.41
89,CNY,20160329,179.18
90,CNY,20160330,177.83
91,CNY,20160331,176.96
